P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3
FBgn0000721	2249	2931.001	2427.999	1552	1815	1507	2052.314	3446.763	2752.545	1592.436	2066.345	1581.554
FBgn0000723	471.001	534	383	147	190	172	358.999	415	394	169.001	231.999	208.999
FBgn0000808	0	2	0	0	0	0	5	3	2	65	24	11
FBgn0000810	317	361	387	0	0	0	397	443	538	384	407	384
FBgn0000826	5	2	0	0	0	0	7	4	10	2	4	7
FBgn0000927	22	37	50	0	0	0	199	210	223	214	214	203
FBgn0000928	2	5	5	0	0	0	30	43	22	15	10	12
FBgn0000996	112	139	114	66	72	49	120	118	169	50	49	38
FBgn0001075	129	146	124	47	50	10	33	63	54	25	17	6
FBgn0001077	0	0	2	2	4	2	0	0	0	1	1	1
FBgn0001078	389	324	371	166	184	157	273	501	379	171	209	145
FBgn0001079	66	86	97	0	0	0	106	172	108	129	108	130
FBgn0001083	1	2	1	0	0	0	4	3	3	1	1	4
FBgn0001084	79	95	111	37	29	56	198	149	207	58	71	58
FBgn0001085	530	498	560	240	206	203	332	476	360	209	207	158
FBgn0001086	0	0	1	0	0	0	0	3	1	0	0	1
FBgn0001087	673	689	778.086	0	0	0	558	818.12	773	703	747	618
FBgn0001089	21	37	30	53	37	55	62	66	77	52	54	56
FBgn0001090	31	39	22	0	0	0	42	111	98	83	121	71
FBgn0001098	274	401	435.136	186	176	223	395.198	569	487.468	308	327	294
FBgn0001099	4.041	10.499	40.767	20.45	4.572	5.242	117.351	99	121.992	71	95	88
FBgn0001104	259	269	217	101	113	114	370	458	344	105	128	193
FBgn0001105	1144.999	1141	1134	12	1	7	871.002	1139	979.999	833.001	858.999	769.007
FBgn0001108	937	977	964	341	312	267	863	1192.907	983	367	403	328
FBgn0001112	51014.255	64644.816	53514.164	28260	29874	27073.437	107843.119	132165.22	126116.176	53586	56942.157	51405.473
FBgn0001114	33	59	31	14	28	22	29	28	42	24	40	31
FBgn0001120	0	0	0	0	1	0	1	0	0	0	5	3
FBgn0001122	197	284	227	89	102.999	95	277.003	347.999	376.999	148	125	127
FBgn0001123	326	326	334	149.999	141	140	176.003	285	185	137	92	123
FBgn0001124	2285.035	2386.043	2781	981	975	1021	1012	1050.006	1263	739	664	797
FBgn0001125	1406	1618	1676	557	604	503	1283	906	1172.001	448	454	474
FBgn0001128	889.003	938.999	1125	370	488	473	865	894	963	340	375	349
FBgn0001133	246	295	250	131	120	120	232	200	233	113	105	105
FBgn0001134	14.737	16.698	19.561	19.652	26.816	7.227	95.146	85	91	42	26	21
FBgn0001137	15	44	26	15	21	6	37	42	60	39	36	42
FBgn0001138	0	1	0	0	0	1	4	0	0	0	0	0
FBgn0001139	517.001	586.999	687	285	298.999	254	297	340.242	373	194	229	145
FBgn0001142	28	46	33	13	36	44	58	124	74	38	44	51
FBgn0001145	974	1560	2198	1	0	0	883	1183.409	1050	1189	1391	1116
FBgn0001147	5	7	14	5	4	1	5	3	8	12	1	5
FBgn0001148	1	1	3	0	0	0	4	0	0	1	0	0
FBgn0001149	5076.113	4787.089	6363	1386	1557	1750	3395	2668	3748	1536	1637.113	1919.005
FBgn0001168	1581	1374	1331	972	1036	933	983.004	1420	1415.113	1175	1162	1027
FBgn0001169	702	700.001	652	302	281	261	467	724.001	632	237.999	251	210
FBgn0001170	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001174	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001179	290	327	334	138	140	139	236	242	275	121	161	119
FBgn0001180	36	72	48	23	17	23	16	61	59	24	16	19
FBgn0001185	174	175	226	58	82	46	195	183	216	74	78	68
FBgn0001186	1246	1483	1659	0	1	0	1360	1988	1685.003	1125	1311	1261
FBgn0001187	21	9	36	28	13	12	27.088	41	36.269	26	8	6
FBgn0001189	1225.172	1331.436	1371.186	0	0	0	1061	1295	1301.105	1490	1621	1487
FBgn0001197	827	843	1062	339	383	343	981	779	1224	496	456	450
FBgn0001202	572	568	580	275	273	249	521	529	586	206	207	178
FBgn0001206	159	186	120	0	0	0	108	127	102	114	153	124
FBgn0001208	2	0	8	4	3	3	17	5	20	3	4	5
FBgn0001215	1599	1846	2394	910.001	937	816.001	1352	1337.001	1650	743	751.999	605
FBgn0001216	35	49	50	12	7	6	7	8	4	0	3	2
